127.0.0.1 - - [14/Nov/2024:21:56:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:31 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:32 +0530] "GET /HealthCareManagementSystem/resources/images/index.jpg HTTP/1.1" 200 23269868
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:45 +0530] "GET /HealthCareManagementSystem/patientLogin.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:45 +0530] "GET /HealthCareManagementSystem/resources/images/patientlogin.jpg HTTP/1.1" 200 222734
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:51 +0530] "GET /HealthCareManagementSystem/register_patient.jsp HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:51 +0530] "GET /HealthCareManagementSystem/resources/images/patientregister.jpg HTTP/1.1" 200 517016
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:56:58 +0530] "GET /HealthCareManagementSystem/adminlogin.jsp HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:24 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:25 +0530] "GET /HealthCareManagementSystem/resources/images/index.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:50 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:51 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:52 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:59:52 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:04 +0530] "GET /HealthCareManagementSystem/patientLogin.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:04 +0530] "GET /HealthCareManagementSystem/resources/images/patientlogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:07 +0530] "GET /HealthCareManagementSystem/register_patient.jsp HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:07 +0530] "GET /HealthCareManagementSystem/resources/images/patientregister.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:43 +0530] "POST /HealthCareManagementSystem/registerPatient HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:00:51 +0530] "POST /HealthCareManagementSystem/registerPatient HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:35 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:40 +0530] "GET /HealthCareManagementSystem/resources/images/index.jpg HTTP/1.1" 200 23269868
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:46 +0530] "GET /HealthCareManagementSystem/adminlogin.jsp HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:51 +0530] "GET /HealthCareManagementSystem/patientLogin.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:51 +0530] "GET /HealthCareManagementSystem/resources/images/patientlogin.jpg HTTP/1.1" 200 222734
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:53 +0530] "GET /HealthCareManagementSystem/doctorlogin.jsp HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:53 +0530] "GET /HealthCareManagementSystem/resources/images/docterlogin.jpg HTTP/1.1" 200 2387534
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:13:57 +0530] "GET /HealthCareManagementSystem/adminlogin.jsp HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:15:20 +0530] "GET /HealthCareManagementSystem/ HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:15:23 +0530] "GET /HealthCareManagementSystem/patientLogin.jsp HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:15:25 +0530] "GET /HealthCareManagementSystem/register_patient.jsp HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:15:25 +0530] "GET /HealthCareManagementSystem/resources/images/patientregister.jpg HTTP/1.1" 200 517016
0:0:0:0:0:0:0:1 - - [14/Nov/2024:22:15:46 +0530] "POST /HealthCareManagementSystem/registerPatient HTTP/1.1" 404 798
